s,t,v
0.0,0.0,0.0
5.0,0.3,16.6666666667
15.0,0.833,18.0072028812
20.0,1.033,19.3610842207
25.0,1.233,20.2757502028
30.0,1.433,20.9351011863
35.0,1.7,20.5882352941
40.0,1.933,20.6932229695
45.0,2.199,20.4638472033
50.0,2.433,20.5507603781
55.0,2.699,20.3779177473
60.0,2.979,20.1409869084
65.0,3.232,20.1113861386
68.0,3.399,20.0058840836
