s,t,v
0.0,0.0,0.0
5.0,0.833,6.00240096038
10.0,1.566,6.38569604087
15.0,2.299,6.52457590257
20.0,2.999,6.66888962988
25.0,3.666,6.81942171304
30.0,4.299,6.97836706211
35.0,4.998,7.00280112045
40.0,5.665,7.06090026478
45.0,6.365,7.06991358995
50.0,7.098,7.04423781347
55.0,7.797,7.05399512633
60.0,8.564,7.00607192901
65.0,9.33,6.9667738478
70.0,10.097,6.93275230266
