s,t,v
0.0,0.0,0.0
5.0,0.314,15.923566879
10.0,0.567,17.6366843034
15.0,0.833,18.0072028812
20.0,1.067,18.7441424555
25.0,1.3,19.2307692308
30.0,1.533,19.5694716243
35.0,1.766,19.818799547
40.0,2.0,20.0
45.0,2.233,20.1522615316
50.0,2.499,20.0080032013
55.0,2.733,20.1244054153
60.0,2.999,20.0066688896
65.0,3.233,20.105165481
70.0,3.499,20.0057159188
