s,t,v
0.0,0.0,0.0
1.0,0.067,14.9253731343
2.0,0.133,15.037593985
3.0,0.188,15.9574468085
4.0,0.233,17.1673819742
5.0,0.29,17.2413793103
10.0,0.533,18.7617260788
15.0,0.78,19.2307692308
20.0,1.033,19.3610842207
25.0,1.266,19.747235387
30.0,1.509,19.8807157058
35.0,1.756,19.9316628702
40.0,1.999,20.0100050025
45.0,2.233,20.1522615316
50.0,2.499,20.0080032013
55.0,2.732,20.1317715959
60.0,2.984,20.1072386059
65.0,3.232,20.1113861386
70.0,3.465,20.202020202
