s,t
0.0,0.0
5.0,0.792
10.0,1.484
15.0,2.209
20.0,2.877
25.0,3.61
30.0,4.301
35.0,4.978
40.0,5.77
45.0,6.432
50.0,7.108
55.0,7.814
60.0,8.572
65.0,9.33
70.0,10.088
