s,t,v
0.0,0.0,0.0
5.0,0.367,13.6239782016
10.0,0.633,15.7977883096
15.0,0.867,17.3010380623
20.0,1.1,18.1818181818
25.0,1.333,18.7546886722
30.0,1.576,19.0355329949
35.0,1.813,19.305019305
40.0,2.066,19.3610842207
45.0,2.299,19.5737277077
50.0,2.546,19.638648861
55.0,2.809,19.5799216803
60.0,3.066,19.5694716243
65.0,3.332,19.5078031212
70.0,3.566,19.6298373528
