s,t,v
0.0,0.0,0.0
5.0,0.865,5.78034682081
10.0,1.599,6.25390869293
15.0,2.265,6.62251655629
20.0,2.965,6.74536256324
25.0,3.631,6.88515560452
30.0,4.298,6.97999069335
35.0,4.997,7.00420252151
40.0,5.631,7.10353400817
45.0,6.397,7.03454744411
50.0,7.097,7.04523037903
55.0,7.83,7.02426564496
60.0,8.596,6.97999069335
65.0,9.363,6.94221937413
70.0,10.162,6.88840779374
