s,t
0.0,0.0
5.0,0.3
15.0,0.833
20.0,1.033
25.0,1.233
30.0,1.433
35.0,1.7
40.0,1.933
45.0,2.199
50.0,2.433
55.0,2.699
60.0,2.979
65.0,3.232
68.0,3.399
